Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
Mistral;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;D;D;D
Mistral;60;What is the correct PromQL expression to calculate the rate of increase of the http_requests_total metric over the last 10 minutes, filtering for the status code 200?;"increase(http_requests_total{status=""200""})[10m]";"rate(http_requests_total{status=""200""})[10m]";"increase(rate(http_requests_total{status=""200""}))[10m]";"rate(increase(http_requests_total{status=""200""}))[10m]";B;C;C;C
Mistral;62;What is the correct PromQL expression to compute the moving average of the temperature metric over the last 15 minutes, filtering out any instances where the value is negative?;avg_over_time(temperature > 0)[15m];avg(temperature) temperature < 0[15m];avg(temperature) unless temperature = 0[15m];avg(temperature > 0)[15m];A;D;D;D
Mistral;65;"How would you find the maximum value of the cpu_temperature metric over the last 30 minutes, taking into account only samples where the device label is ""cpu1""?";"max_over_time(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""}[30m])";"max_over_time(cpu_temperature{device=""cpu1""}[30m])";A;D;D;D
Mistral;67;How do you compute the moving average of the network_throughput metric over the last 15 minutes, considering only samples where the value is above 1000?;avg_over_time(network_throughput > 1000)[15m];avg(network_throughput) unless network_throughput <= 1000 [15m];avg(network_throughput) unless network_throughput <= 1000 [15m];avg_over_time(network_throughput > 1000)[15m];A;D;D;D
Mistral;75;What query is used to find the 99th percentile request wait duration in flow control?;" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_wait_duration_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_request_duration_seconds_bucket{verb=~""""LIST|GET"""", subresource!=""""log""""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0""";C;B;B;B
Mistral;76;Which query is used to determine the API inflight requests?;" ""sum(apiserver_current_inflight_requests{}) by (request_kind) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_flowcontrol_rejected_requests_total{}[5m])) by (flowSchema,reason) > 0""";" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";A;D;D;D
Mistral;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;B;B;B
Granite;2;How do you filter metrics by the label 'job' with the value 'api-server'?;"http_requests_total{job=""api-server""}";"http_requests_total[job=""api-server""]";"http_requests_total(job=""api-server"")";"http_requests_total@job=""api-server""";A;B;B;B
Granite;3;"How do you filter metrics by the labelWhich PromQL expression calculates  is the correct way to apply a simple rate function?""";(metric_name);rate(metric_name[5m]);rate(metric_name) by (instance);rate(5m)(metric_name);B;D;D;D
Granite;4;Which PromQL expression filters metrics to those where the label 'status' is not equal to '200'?;"http_requests_total{status!=""200""}";http_requests_total{status<>200};"http_requests_total(status!=""200"")";http_requests_total{status!200};A;B;B;B
Granite;7;Which PromQL expression calculates the increase in HTTP requests over the last 1 hour?;increase(http_requests_total[1h]);rate(http_requests_total[1h]);sum(http_requests_total[1h]);delta(http_requests_total[1h]);A;D;D;D
Granite;8;How do you combine two metrics using the sum operator?;metric1 + metric2;addition(metric1, metric2);combine(metric1, metric2);(metric1, metric2);A;C;C;C
Granite;9;Which function would you use to get the 95th percentile of response times?;histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));percentile(0.95, rate(http_request_duration_seconds_bucket[5m]));topk(0.95, rate(http_request_duration_seconds_bucket[5m]));A;C;C;C
Granite;10;What is the correct way to calculate the sum of values grouped by 'job' and 'instance'?;sum(metric_name) by (job, instance);sum(metric_name) by job, instance;sum(metric_name) job instance;sum(metric_name) over (job, instance);A;D;D;D
Granite;14;Which nested query calculates the average CPU usage for instances with more than 2 cores?;avg by (instance) (sum by (instance, cpu) (rate(node_cpu_seconds_total[5m]))) > 2;avg by (instance) (rate(node_cpu_seconds_total[5m])) > 2;sum by (instance) (avg by (cpu) (rate(node_cpu_seconds_total[5m]))) > 2;sum by (instance) (rate(node_cpu_seconds_total[5m])) / count by (instance) (node_cpu_seconds_total) > 2;A;B;B;B
Granite;34;How would you select the maximum value of the memory_usage metric over a 1-hour time range?;max(memory_usage) [1h];memory_usage{1h} max;max(memory_usage) / 1h;memory_usage / max[1h];A;B;B;B
Granite;37;"Which PromQL expression correctly filters data from the http_requests_total metric where the method is ""POST"" and the status is 500?";"http_requests_total{method=""POST"", status=""500""}";"http_requests_total{method:""POST"", status:""500""}";"http_requests_total(method=""POST"", status=""500"")";"http_requests_total[method=""POST""][status=""500""]";A;D;D;D
Granite;39;"Which of the following PromQL expressions correctly selects data from the disk_usage metric where the mount point is ""/var""?";"disk_usage{mountpoint=""/var""}";"disk_usage[mountpoint=""/var""]";"disk_usage(mountpoint=""var"")";"disk_usage[""/var""]";A;B;B;B
Granite;41;What is the correct PromQL syntax to compute the difference in disk_space_used over the last 10 minutes?;delta(disk_space_used)[10m];diff(disk_space_used)[10m];increase(disk_space_used)[10m];rate(disk_space_used)[10m];A;B;B;B
Granite;42;How do you find the percentage increase in the transactions metric over the last hour?;increase(transactions) * 100 / transactions;(transactions - increase(transactions)) increase(transactions) * 100;100 * increase(transactions) / transactions;transactions / increase(transactions) * 100;C;A;A;A
Granite;43;Which of the following PromQL expressions calculates the second derivative of the cpu_usage metric over a 5-minute period?;rate(rate(cpu_usage)[5m])[5m];increase(increase(cpu_usage)[5m])[5m];derivative(derivative(cpu_usage)[5m])[5m];increase(derivative(cpu_usage)[5m])[5m];C;A;A;A
Granite;47;What is the correct PromQL syntax to find the median of the response_time metric over the last hour?;median_over_time(response_time[1h]);quantile(0.5, response_time)[1h];median(response_time)[1h];percentile(response_time, 50)[1h];B;C;C;C
Granite;50;Which PromQL function is used to calculate the increase of a counter metric over time?;increase();rate();delta();difference();A;B;B;B
Granite;51;How do you calculate the sum of the http_requests_total metric grouped by the status label?;sum(http_requests_total) by (status);sum(http_requests_total) group by status;sum(http_requests_total) without (status);sum(http_requests_total) on (status);A;B;B;B
Granite;52;Which PromQL function is used to compute the moving average of a metric over time?;moving_avg();avg_over_time();rate();increase();B;A;A;A
Granite;54;Which function is used to find the lowest value of a metric over a specified time range?;min_over_time();lowest();min();minimum();A;B;B;B
Granite;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;C;C;C
Granite;59;How do you calculate the average of the response_time metric over a 15-minute window, ignoring any samples where the value is zero?;avg_over_time(response_time != 0)[15m];avg(response_time) unless response_time == 0[15m];avg(response_time) unless response_time = 0[15m];avg(response_time != 0)[15m];A;B;B;B
Granite;61;How would you find the 90th percentile of the latency metric over the last hour, accounting for resets to zero?;irate(quantile(0.90, latency)[1h]);quantile(0.90, irate(latency)[1h]);irate(quantile(0.90, latency))[1h];quantile(0.90, irate(latency))[1h];D;A;A;A
Granite;63;How do you calculate the rate of change of the disk_io metric over the last 5 minutes, excluding any samples where the value is less than 10?;irate(io > 10)[5m];irate(disk_io) > 1.0[5m];irate(disk_io{disk_io > 10})[5m];irate(avg_disk_io > 10)[5m];C;A;A;A
Granite;69;How would you calculate the rate of change of the temperature metric over the last 10 minutes, excluding any samples where the value is less than 20?;irate(temperature > 20)[10m];irate(temperature) > 20 [10m];irate(temperature{temperature > 20})[10m];(temperature > 0)[10m];C;A;A;A
Granite;70;"What is the metric name for the query 'histogram_quantile(0.99, sum(rate(apiserver_request_duration_seconds_bucket{verb=~""LIST|GET"", subresource!=""log""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0'?";" ""APIRequestRate""";" ""API99thWriteRequestLatency""";" ""API99thReadRequestLatency""";" ""flowControlRejectedRequest""";C;A;A;A
Granite;72;What metric name corresponds to the query 'sum(increase(apiserver_request_total{}[5m])) by (verb,resource,subresource,apiserver,component,code) > 0'?;" ""flowControl99thRequestExecution""";" ""flowControlRate""";" ""APIRequestCount""";" ""APIInflightRequests""";C;B;B;B
Granite;76;Which query is used to determine the API inflight requests?;" ""sum(apiserver_current_inflight_requests{}) by (request_kind) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_flowcontrol_rejected_requests_total{}[5m])) by (flowSchema,reason) > 0""";" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";A;D;D;D
Granite;77;What metric name is used for the query 'sum(rate(apiserver_flowcontrol_dispatched_requests_total[2m])) by (flow_schema,priority_level) > 0'?;" ""APIRequestRate""";" ""flowControlRejectedRequest""";" ""flowControlRate""";" ""flowControl99thRequestExecution""";C;A;A;A
Granite;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;B;B;B
Granite;80;What is the correct PromQL query to select the CPU time in nanoseconds for a web process in a production environment for a specific application, revision, and job?;"instance_cpu_time_ns{app=""tiger"", proc=""db"", rev=""34d0f99"", env=""dev"", job=""cluster-manager""}";"instance_cpu_time_ns{app=""lion"", proc=""web"", rev=""34d0f99"", env=""prod"", job=""cluster-manager""}";"instance_cpu_time_ns{app=""lion"", proc=""web"", rev=""34d0f99"", env=""staging"", job=""manager""}";"instance_cpu_time_ns{app=""lion"", proc=""web"", rev=""1234abcd"", env=""prod"", job=""cluster-manager""}";B;A;A;A
Llama3;2;How do you filter metrics by the label 'job' with the value 'api-server'?;"http_requests_total{job=""api-server""}";"http_requests_total[job=""api-server""]";"http_requests_total(job=""api-server"")";"http_requests_total@job=""api-server""";A;C;C;C
Llama3;9;Which function would you use to get the 95th percentile of response times?;histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));percentile(0.95, rate(http_request_duration_seconds_bucket[5m]));topk(0.95, rate(http_request_duration_seconds_bucket[5m]));A;C;C;C
Llama3;10;What is the correct way to calculate the sum of values grouped by 'job' and 'instance'?;sum(metric_name) by (job, instance);sum(metric_name) by job, instance;sum(metric_name) job instance;sum(metric_name) over (job, instance);A;B;B;B
Llama3;17;How do you efficiently compute the average memory usage per namespace, excluding the 'kube-system' namespace?;"avg_over_time(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m]) by (namespace)";"avg_over_time(node_memory_MemTotal_bytes[5m]) by (namespace) != ""kube-system""";"avg(rate(node_memory_MemTotal_bytes{namespace!=""kube-system""}[5m])) by (namespace)";"avg(node_memory_MemTotal_bytes{namespace!=""kube-system""}) by (namespace)";A;C;C;C
Llama3;22;How would you write a PromQL query to calculate the sum of the rate of increase for multiple counter metrics?;sum(rate(counter_metric[5m]));rate(sum(counter_metric[5m]));increase(sum(counter_metric[5m]));sum_over_time(rate(counter_metric[5m]));A;D;D;D
Llama3;29;How can you calculate the average number of active sessions per minute over the past day, assuming active_sessions is a gauge metric?;avg_over_time(active_sessions[1d]) / 1440;rate(active_sessions[1d]) / 1440;avg(active_sessions) / 1440;irate(active_sessions[1d]) / 1440;B;A;A;A
Llama3;32;What is the correct syntax to filter data from the http_requests_total metric where the status code is 200?;"http_requests_total{status=""200""}";"http_requests_total(status=""200"")";http_requests_total{status:200};"http_requests_total[status=""200""]";A;D;D;D
Llama3;34;How would you select the maximum value of the memory_usage metric over a 1-hour time range?;max(memory_usage) [1h];memory_usage{1h} max;max(memory_usage) / 1h;memory_usage / max[1h];A;B;B;B
Llama3;35;Which PromQL syntax retrieves the sum of disk_space_used across all instances?;sum(disk_space_used) by (instance);disk_space_used{sum by instance};sum(disk_space_used) without (instance);disk_space_used{sum(instance)};A;B;B;B
Llama3;36;"How do you correctly select data from the network_packets_received metric where the device is named ""eth0""?";"network_packets_received{device=""eth0""}";"network_packets_received(device=""eth0"")";"network_packets_received{device:""eth0""}";"network_packets_received[device=""eth0""]";A;D;D;D
Llama3;37;"Which PromQL expression correctly filters data from the http_requests_total metric where the method is ""POST"" and the status is 500?";"http_requests_total{method=""POST"", status=""500""}";"http_requests_total{method:""POST"", status:""500""}";"http_requests_total(method=""POST"", status=""500"")";"http_requests_total[method=""POST""][status=""500""]";A;B;B;B
Llama3;39;"Which of the following PromQL expressions correctly selects data from the disk_usage metric where the mount point is ""/var""?";"disk_usage{mountpoint=""/var""}";"disk_usage[mountpoint=""/var""]";"disk_usage(mountpoint=""var"")";"disk_usage[""/var""]";A;B;B;B
Llama3;45;Which PromQL expression calculates the difference between the maximum and minimum values of the memory_usage metric over the last 30 minutes?;range_max(memory_usage[30m]) - range_min(memory_usage[30m]);delta(memory_usage)[30m];range_max(memory_usage) - range_min(memory_usage)[30m];increase(max(memory_usage) - min(memory_usage))[30m];A;C;C;C
Llama3;49;How would you compute the standard deviation of the latency metric over the last 5 minutes?;stddev(latency)[5m];quantile(0.5, latency)[5m];delta(latency)[5m];stdev(latency)[5m];A;D;D;D
Llama3;53;How would you calculate the rate of change of the errors metric over a 5-minute interval, accounting for resets to zero?;irate(errors[5m]);increase(errors[5m]);rate(errors[5m]);delta(errors[5m]);A;D;D;D
Llama3;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;C;C;C
Llama3;60;What is the correct PromQL expression to calculate the rate of increase of the http_requests_total metric over the last 10 minutes, filtering for the status code 200?;"increase(http_requests_total{status=""200""})[10m]";"rate(http_requests_total{status=""200""})[10m]";"increase(rate(http_requests_total{status=""200""}))[10m]";"rate(increase(http_requests_total{status=""200""}))[10m]";B;C;C;C
Llama3;62;What is the correct PromQL expression to compute the moving average of the temperature metric over the last 15 minutes, filtering out any instances where the value is negative?;avg_over_time(temperature > 0)[15m];avg(temperature) temperature < 0[15m];avg(temperature) unless temperature = 0[15m];avg(temperature > 0)[15m];A;D;D;D
Llama3;64;Which PromQL expression correctly calculates the ratio of successful_requests to total_requests over a 10-minute interval, excluding any samples where total_requests is zero?;successful_requests / total_requests > 0 [10m];(successful_requests) // rate(total_requests) total_requests = 0 [10m];increase(successful_requests) / increase(total_requests) unless total_requests == 0 [10m];successful_requests + total_requests unless total_requests == 0 [10m];C;B;B;B
Llama3;65;"How would you find the maximum value of the cpu_temperature metric over the last 30 minutes, taking into account only samples where the device label is ""cpu1""?";"max_over_time(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""}[30m])";"max_over_time(cpu_temperature{device=""cpu1""}[30m])";A;D;D;D
Llama3;70;"What is the metric name for the query 'histogram_quantile(0.99, sum(rate(apiserver_request_duration_seconds_bucket{verb=~""LIST|GET"", subresource!=""log""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0'?";" ""APIRequestRate""";" ""API99thWriteRequestLatency""";" ""API99thReadRequestLatency""";" ""flowControlRejectedRequest""";C;B;B;B
Llama3;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;B;B;B
