Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
Llama3;49;How would you compute the standard deviation of the latency metric over the last 5 minutes?;stddev(latency)[5m];quantile(0.5, latency)[5m];delta(latency)[5m];stdev(latency)[5m];A;D;D;D
Llama3;50;Which PromQL function is used to calculate the increase of a counter metric over time?;increase();rate();delta();difference();A;C;C;C
Llama3;53;How would you calculate the rate of change of the errors metric over a 5-minute interval, accounting for resets to zero?;irate(errors[5m]);increase(errors[5m]);rate(errors[5m]);delta(errors[5m]);A;D;D;D
Llama3;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;C;C;C
Llama3;58;Which PromQL function is used to compute the absolute difference between the maximum and minimum values of a metric over a specified time range?;range_abs();abs_range();difference();delta_abs();A;D;D;D
Llama3;59;How do you calculate the average of the response_time metric over a 15-minute window, ignoring any samples where the value is zero?;avg_over_time(response_time != 0)[15m];avg(response_time) unless response_time == 0[15m];avg(response_time) unless response_time = 0[15m];avg(response_time != 0)[15m];A;D;D;D
Llama3;62;What is the correct PromQL expression to compute the moving average of the temperature metric over the last 15 minutes, filtering out any instances where the value is negative?;avg_over_time(temperature > 0)[15m];avg(temperature) temperature < 0[15m];avg(temperature) unless temperature = 0[15m];avg(temperature > 0)[15m];A;D;D;D
Llama3;64;Which PromQL expression correctly calculates the ratio of successful_requests to total_requests over a 10-minute interval, excluding any samples where total_requests is zero?;successful_requests / total_requests > 0 [10m];(successful_requests) // rate(total_requests) total_requests = 0 [10m];increase(successful_requests) / increase(total_requests) unless total_requests == 0 [10m];successful_requests + total_requests unless total_requests == 0 [10m];C;B;B;B
Llama3;65;"How would you find the maximum value of the cpu_temperature metric over the last 30 minutes, taking into account only samples where the device label is ""cpu1""?";"max_over_time(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""}[30m])";"max_over_time(cpu_temperature{device=""cpu1""}[30m])";A;D;D;D
Llama3;67;How do you compute the moving average of the network_throughput metric over the last 15 minutes, considering only samples where the value is above 1000?;avg_over_time(network_throughput > 1000)[15m];avg(network_throughput) unless network_throughput <= 1000 [15m];avg(network_throughput) unless network_throughput <= 1000 [15m];avg_over_time(network_throughput > 1000)[15m];A;D;D;D
Llama3;69;How would you calculate the rate of change of the temperature metric over the last 10 minutes, excluding any samples where the value is less than 20?;irate(temperature > 20)[10m];irate(temperature) > 20 [10m];irate(temperature{temperature > 20})[10m];(temperature > 0)[10m];C;A;A;A
Llama3;71;What is the query used to determine the API99thWriteRequestLatency?;" ""sum(increase(apiserver_request_total{}[5m])) by (verb,resource,subresource,apiserver,component,code) > 0""";" ""histogram(0.99, sum(rate(apiserver_flowcontrol_request_wait_duration_seconds_bucket{}[5m] (le, flow_schema, prioritylevel)""";" ""histogram_quantile(0.99, sum(rate(apiserver_request_duration_seconds_bucket{verb=~""""POST|PUT|PATCH|DELETE"""", subresource!=""""log""""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0""";" ""sum(rate(apiserver_flowcontrol_dispatched_requests_total[2m])) by (flow_schema,priority_level) > 0""";C;A;A;A
Llama3;72;What metric name corresponds to the query 'sum(increase(apiserver_request_total{}[5m])) by (verb,resource,subresource,apiserver,component,code) > 0'?;" ""flowControl99thRequestExecution""";" ""flowControlRate""";" ""APIRequestCount""";" ""APIInflightRequests""";C;A;A;A
Llama3;75;What query is used to find the 99th percentile request wait duration in flow control?;" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_wait_duration_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_request_duration_seconds_bucket{verb=~""""LIST|GET"""", subresource!=""""log""""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0""";C;B;B;B
Llama3;77;What metric name is used for the query 'sum(rate(apiserver_flowcontrol_dispatched_requests_total[2m])) by (flow_schema,priority_level) > 0'?;" ""APIRequestRate""";" ""flowControlRejectedRequest""";" ""flowControlRate""";" ""flowControl99thRequestExecution""";C;A;A;A
Llama3;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;B;B;B
Mistral;4;Which PromQL expression filters metrics to those where the label 'status' is not equal to '200'?;"http_requests_total{status!=""200""}";http_requests_total{status<>200};"http_requests_total(status!=""200"")";http_requests_total{status!200};A;B;B;B
Mistral;9;Which function would you use to get the 95th percentile of response times?;histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));percentile(0.95, rate(http_request_duration_seconds_bucket[5m]));topk(0.95, rate(http_request_duration_seconds_bucket[5m]));A;C;C;C
Mistral;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;C;C;C
