Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
mistral;61;How would you find the 90th percentile of the latency metric over the last hour, accounting for resets to zero?;irate(quantile(0.90, latency)[1h]);quantile(0.90, irate(latency)[1h]);irate(quantile(0.90, latency))[1h];quantile(0.90, irate(latency))[1h];D;A;A;A
mistral;63;How do you calculate the rate of change of the disk_io metric over the last 5 minutes, excluding any samples where the value is less than 10?;irate(io > 10)[5m];irate(disk_io) > 1.0[5m];irate(disk_io{disk_io > 10})[5m];irate(avg_disk_io > 10)[5m];C;A;A;A
mistral;64;Which PromQL expression correctly calculates the ratio of successful_requests to total_requests over a 10-minute interval, excluding any samples where total_requests is zero?;successful_requests / total_requests > 0 [10m];(successful_requests) // rate(total_requests) total_requests = 0 [10m];increase(successful_requests) / increase(total_requests) unless total_requests == 0 [10m];successful_requests + total_requests unless total_requests == 0 [10m];C;A;A;A
mistral;72;What metric name corresponds to the query 'sum(increase(apiserver_request_total{}[5m])) by (verb,resource,subresource,apiserver,component,code) > 0'?;" ""flowControl99thRequestExecution""";" ""flowControlRate""";" ""APIRequestCount""";" ""APIInflightRequests""";C;A;A;A
mistral;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;B;B;B
granite-code:8b;25;How would you calculate the 99th percentile latency of HTTP requests over the last 10 minutes?;Xuantile_over_tie(0.99, http_request_duration_seconds[10m]);histogram_quantile(0.99, rate(http_request_duration_seconds_bucket[10m]));Xercentile_ove_time(0.99, http_request_duration_seconds[10m]);quantile(0.99, http_request_duration_seconds(10m);B;A;A;A
granite-code:8b;29;How can you calculate the average number of active sessions per minute over the past day, assuming active_sessions is a gauge metric?;avg_over_time(active_sessions[1d]) / 1440;rate(active_sessions[1d]) / 1440;avg(active_sessions) / 1440;irate(active_sessions[1d]) / 1440;B;D;A;A
granite-code:8b;33;Which of the following PromQL expressions is written with correct syntax to calculate the 90th percentile of the latency metric?;(latency, 90);"{quantile=""0.90""}";quantile(0.90, latency);latency[90%);C;A;A;A
granite-code:8b;40;How would you calculate the rate of change of the requests_total metric over a 5-minute interval?;increase(requests_total)[5m];rate(requests_total)[5m];increase(rate(requests_total))[5m];rate(increase(requests_total))[5m];B;A;A;A
granite-code:8b;42;How do you find the percentage increase in the transactions metric over the last hour?;increase(transactions) * 100 / transactions;(transactions - increase(transactions)) increase(transactions) * 100;100 * increase(transactions) / transactions;transactions / increase(transactions) * 100;C;A;A;A
granite-code:8b;43;Which of the following PromQL expressions calculates the second derivative of the cpu_usage metric over a 5-minute period?;rate(rate(cpu_usage)[5m])[5m];increase(increase(cpu_usage)[5m])[5m];derivative(derivative(cpu_usage)[5m])[5m];increase(derivative(cpu_usage)[5m])[5m];C;A;A;A
granite-code:8b;60;What is the correct PromQL expression to calculate the rate of increase of the http_requests_total metric over the last 10 minutes, filtering for the status code 200?;"increase(http_requests_total{status=""200""})[10m]";"rate(http_requests_total{status=""200""})[10m]";"increase(rate(http_requests_total{status=""200""}))[10m]";"rate(increase(http_requests_total{status=""200""}))[10m]";B;A;A;A
granite-code:8b;61;How would you find the 90th percentile of the latency metric over the last hour, accounting for resets to zero?;irate(quantile(0.90, latency)[1h]);quantile(0.90, irate(latency)[1h]);irate(quantile(0.90, latency))[1h];quantile(0.90, irate(latency))[1h];D;A;A;A
granite-code:8b;63;How do you calculate the rate of change of the disk_io metric over the last 5 minutes, excluding any samples where the value is less than 10?;irate(io > 10)[5m];irate(disk_io) > 1.0[5m];irate(disk_io{disk_io > 10})[5m];irate(avg_disk_io > 10)[5m];C;A;A;A
granite-code:8b;64;Which PromQL expression correctly calculates the ratio of successful_requests to total_requests over a 10-minute interval, excluding any samples where total_requests is zero?;successful_requests / total_requests > 0 [10m];(successful_requests) // rate(total_requests) total_requests = 0 [10m];increase(successful_requests) / increase(total_requests) unless total_requests == 0 [10m];successful_requests + total_requests unless total_requests == 0 [10m];C;A;A;A
granite-code:8b;66;What is the correct PromQL expression to calculate the 95th percentile of the response_time metric over the last 1 hour, excluding any samples where response_time is greater than 500 milliseconds?;quantile(0.95response_time < 500)[1h];quantile_over_time(0.95, response_time[1h] unless response_time > 500);quantile(0.95, response_time) > 500 [1h];quantile(0.95, response_time) unless response_time > 500ms [1h];B;A;A;A
granite-code:8b;68;What is the correct PromQL expression to find the sum of disk_io_bytes for each instance over the last 5 minutes, excluding any instances where the sum is less than 1000 bytes?;sum by (instance)(disk_io_bytes > 1000)[5m];(disk_io_bytes{disk_io_bytes > 1000}) by (instance)[5m];sum(disk_io_bytes) (disk_io_bytes) <= 1000 [5m];sum by (instance)(disk_io_bytes) unless sum(disk_io_bytes) <= 1000 [5m];D;B;A;A
granite-code:8b;69;How would you calculate the rate of change of the temperature metric over the last 10 minutes, excluding any samples where the value is less than 20?;irate(temperature > 20)[10m];irate(temperature) > 20 [10m];irate(temperature{temperature > 20})[10m];(temperature > 0)[10m];C;A;A;A
granite-code:8b;70;"What is the metric name for the query 'histogram_quantile(0.99, sum(rate(apiserver_request_duration_seconds_bucket{verb=~""LIST|GET"", subresource!=""log""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0'?";" ""APIRequestRate""";" ""API99thWriteRequestLatency""";" ""API99thReadRequestLatency""";" ""flowControlRejectedRequest""";C;A;A;A
granite-code:8b;75;What query is used to find the 99th percentile request wait duration in flow control?;" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_wait_duration_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_request_duration_seconds_bucket{verb=~""""LIST|GET"""", subresource!=""""log""""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0""";C;A;A;A
granite-code:8b;77;What metric name is used for the query 'sum(rate(apiserver_flowcontrol_dispatched_requests_total[2m])) by (flow_schema,priority_level) > 0'?;" ""APIRequestRate""";" ""flowControlRejectedRequest""";" ""flowControlRate""";" ""flowControl99thRequestExecution""";C;A;A;B
granite-code:8b;80;What is the correct PromQL query to select the CPU time in nanoseconds for a web process in a production environment for a specific application, revision, and job?;"instance_cpu_time_ns{app=""tiger"", proc=""db"", rev=""34d0f99"", env=""dev"", job=""cluster-manager""}";"instance_cpu_time_ns{app=""lion"", proc=""web"", rev=""34d0f99"", env=""prod"", job=""cluster-manager""}";"instance_cpu_time_ns{app=""lion"", proc=""web"", rev=""34d0f99"", env=""staging"", job=""manager""}";"instance_cpu_time_ns{app=""lion"", proc=""web"", rev=""1234abcd"", env=""prod"", job=""cluster-manager""}";B;A;A;A
