Model;Question Number;Question;Option A;Option B;Option C;Option D;Correct Answer;Answer Instance 1;Answer Instance 2;Answer Instance 3
Llama3;65;"How would you find the maximum value of the cpu_temperature metric over the last 30 minutes, taking into account only samples where the device label is ""cpu1""?";"max_over_time(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""})[30m]";"max(cpu_temperature{device=""cpu1""}[30m])";"max_over_time(cpu_temperature{device=""cpu1""}[30m])";A;D;D;D
Llama3;69;How would you calculate the rate of change of the temperature metric over the last 10 minutes, excluding any samples where the value is less than 20?;irate(temperature > 20)[10m];irate(temperature) > 20 [10m];irate(temperature{temperature > 20})[10m];(temperature > 0)[10m];C;A;A;A
Llama3;70;"What is the metric name for the query 'histogram_quantile(0.99, sum(rate(apiserver_request_duration_seconds_bucket{verb=~""LIST|GET"", subresource!=""log""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0'?";" ""APIRequestRate""";" ""API99thWriteRequestLatency""";" ""API99thReadRequestLatency""";" ""flowControlRejectedRequest""";C;B;B;B
Llama3;75;What query is used to find the 99th percentile request wait duration in flow control?;" ""sum(irate(apiserver_request_total{}[2m])) by (verb,resource,subresource,apiserver,component,code) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_execution_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""histogram_quantile(0.99, sum(rate(apiserver_flowcontrol_request_wait_duration_seconds_bucket{}[5m])) by (le, flow_schema, priority_level)) > 0""";" ""sum(rate(apiserver_request_duration_seconds_bucket{verb=~""""LIST|GET"""", subresource!=""""log""""}[2m])) by (verb,resource,subresource,component,apiserver,le)) > 0""";C;B;B;B
Llama3;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;C;C;B
Mistral;4;Which PromQL expression filters metrics to those where the label 'status' is not equal to '200'?;"http_requests_total{status!=""200""}";http_requests_total{status<>200};"http_requests_total(status!=""200"")";http_requests_total{status!200};A;B;B;B
Mistral;9;Which function would you use to get the 95th percentile of response times?;histogram_quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));quantile(0.95, rate(http_request_duration_seconds_bucket[5m]));percentile(0.95, rate(http_request_duration_seconds_bucket[5m]));topk(0.95, rate(http_request_duration_seconds_bucket[5m]));A;B;B;B
Mistral;18;How would you write a PromQL query to calculate the average memory usage across all pods in a Kubernetes cluster?;avg(kube_pod_memory_usage_bytes);sum(kube_pod_memory_usage_bytes);avg_over_time(kube_pod_memory_usage_bytes[5m]);rate(kube_pod_memory_usage_bytes[5m]);A;C;C;C
Mistral;19;To calculate the rate of increase of HTTP requests in the last 5 minutes for a web application, which query would you use?;rate(http_requests_total[5m]);sum(http_requests_total[5m]);increase(http_requests_total[5m]);(http_requests_total[5m]);A;C;C;C
Mistral;22;How would you write a PromQL query to calculate the sum of the rate of increase for multiple counter metrics?;sum(rate(counter_metric[5m]));rate(sum(counter_metric[5m]));increase(sum(counter_metric[5m]));sum_over_time(rate(counter_metric[5m]));A;D;D;D
Mistral;29;How can you calculate the average number of active sessions per minute over the past day, assuming active_sessions is a gauge metric?;avg_over_time(active_sessions[1d]) / 1440;rate(active_sessions[1d]) / 1440;avg(active_sessions) / 1440;irate(active_sessions[1d]) / 1440;B;A;A;A
Mistral;44;How do you calculate the ratio of success to failure in the http_requests metric?;success / failure;success(failure);success + count(failure);success / sum(failure);A;D;D;D
Mistral;48;Which of the following PromQL expressions calculates the per-second rate of increase of the network_traffic metric over a 10-minute window?;rate(network_traffic[10m]);((network_traffic))[10m];increase(network_traffic) / 10m;rate(network_traffic) / 10m;A;D;D;D
Mistral;55;How do you calculate the sum of the disk_space_used metric over a 10-minute window for each instance?;sum by (instance)(disk_space_used)[10m];sum(disk_space_used) group by instance[10m];sum(disk_space_used) by (instance)[10m];sum(disk_space_used) without (instance)[10m];A;C;C;C
Mistral;57;How would you calculate the sum of the memory_usage metric over the last 30 minutes, taking into account only samples where the value is greater than 1000?;sum_over_time(memory_usage > 1000)[30m];sum(memory_usage) > 1000[30m];sum(memory_usage{memory_usage > 1000})[30m];sum(memory_usage > 1000)[30m];A;D;D;D
Mistral;62;What is the correct PromQL expression to compute the moving average of the temperature metric over the last 15 minutes, filtering out any instances where the value is negative?;avg_over_time(temperature > 0)[15m];avg(temperature) temperature < 0[15m];avg(temperature) unless temperature = 0[15m];avg(temperature > 0)[15m];A;C;C;C
Mistral;79;Which of the following PromQL queries correctly calculates the rate of HTTP requests per job over the last 5 minutes?;sum by (job) (rate(http_requests_total[5m]));rate(http_requests_total[5m]) by (job);rate(sum by (job) (http_requests_total[5m]));rate(http_requests_total{job}[5m]);A;C;C;C
