Question,Option A,Option B,Option C,Option D,Correct Answer
"What does the metric nodeStatus indicate?","Status of Kubernetes nodes","Number of config maps in the cluster","Memory usage of nodes","Role of the nodes","1"
"What does the metric configmapCount represent?","Status of Kubernetes nodes","Number of config maps in the cluster","Memory usage of nodes","Role of the nodes","2"
"What does the metric nodeCPU-Masters measure?","CPU usage of master nodes","Memory usage of master nodes","Number of config maps in the cluster","Role of the nodes","1"
"What does the metric readOpsSec measure?","Number of read operations per second","CPU usage of master nodes","Memory usage of master nodes","Role of the nodes","1"
"What does the metric writeOpsSec measure?","Number of write operations per second","CPU usage of master nodes","Memory usage of master nodes","Role of the nodes","1"
"What does the metric diskReadBytesRate measure?","Rate of bytes read from disk per second","CPU usage of master nodes","Memory usage of master nodes","Role of the nodes","1"
"What does the metric diskWriteBytesRate measure?","Rate of bytes written to disk per second","CPU usage of master nodes","Memory usage of master nodes","Role of the nodes","1"
"What does the metric nodeMemoryAvailable-Masters measure?","Available memory in master nodes","Active memory in master nodes","CPU usage of master nodes","Memory usage of master nodes","1"
"What does the metric nodeMemoryActive-Masters measure?","Available memory in master nodes","Active memory in master nodes","CPU usage of master nodes","Memory usage of master nodes","2"
"What does the metric rxNetworkBytes-Masters measure?","Network receive bytes in master nodes","Network transmit bytes in master nodes","CPU usage of master nodes","Memory usage of master nodes","1"
"What does the metric txNetworkBytes-Masters measure?","Network transmit bytes in master nodes","Network receive bytes in master nodes","CPU usage of master nodes","Memory usage of master nodes","1"
"What does the metric 'etcdWALWriteBytesRate' represent?","Rate of etcd disk WAL write bytes over the last 2 minutes.","Rate of etcd disk WAL write bytes over the last 5 minutes.","Rate of etcd disk WAL write bytes over the last 1 minute.","Rate of etcd disk WAL write bytes since the server started.","4"
"What does the metric 'etcdClientGRPCReceivedBytesRate' measure?","Rate of bytes received by etcd client over gRPC over the last 2 minutes.","Rate of bytes received by etcd server over gRPC over the last 2 minutes.","Rate of bytes received by etcd client over gRPC over the last 5 minutes.","Rate of bytes received by etcd server over gRPC over the last 5 minutes.","2"
"What does the metric 'etcdClientGRPCSentBytesRate' represent?","Rate of bytes sent by etcd client over gRPC over the last 2 minutes.","Rate of bytes sent by etcd server over gRPC over the last 2 minutes.","Rate of bytes sent by etcd client over gRPC over the last 5 minutes.","Rate of bytes sent by etcd server over gRPC over the last 5 minutes.","3"
"What does the metric 'etcdLeaderChangesRate' measure?","Rate of changes in etcd leader over the last 2 minutes.","Total number of changes in etcd leader over the last 2 minutes.","Rate of changes in etcd leader since the server started.","Total number of changes in etcd leader since the server started.","1"
"What does the metric 'etcdServerIsLeader' indicate?","Whether the server is a leader or not.","Number of leader changes in the etcd cluster.","Rate of server leadership changes over the last 2 minutes.","Whether the server has a connection to the leader.","2"
"What does the metric '99thEtcdDiskBackendCommitDurationSeconds' represent?","99th percentile of etcd disk backend commit duration over the last 2 minutes.","Average etcd disk backend commit duration over the last 2 minutes.","99th percentile of etcd disk backend commit duration since the server started.","Average etcd disk backend commit duration since the server started.","3"
"What does the metric '99thEtcdDiskWalFsyncDurationSeconds' measure?","99th percentile of etcd disk WAL fsync duration over the last 2 minutes.","Average etcd disk WAL fsync duration over the last 2 minutes.","99th percentile of etcd disk WAL fsync duration since the server started.","Average etcd disk WAL fsync duration since the server started.","2"
"What does the metric '99thEtcdRoundTripTimeSeconds' represent?","99th percentile of etcd peer round trip time over the last 5 minutes.","Average etcd peer round trip time over the last 5 minutes.","99th percentile of etcd peer round trip time since the server started.","Average etcd peer round trip time since the server started.","4"
"What does the metric 'etcdDBPhysicalSizeBytes' indicate?","Total physical size of the etcd database.","Total logical size of the etcd database.","Rate of growth of the etcd database physical size over the last 2 minutes.","Rate of growth of the etcd database logical size over the last 2 minutes.","1"
"What does the metric 'etcdDBLogicalSizeBytes' represent?","Total logical size of the etcd database.","Total physical size of the etcd database.","Rate of growth of the etcd database physical size over the last 2 minutes.","Rate of growth of the etcd database logical size over the last 2 minutes.","3"
"What does the metric 'etcdVersion' indicate?","The current version of the etcd cluster.","The number of clusters running the etcd software.","Rate of updates to the etcd software version.","Total number of updates to the etcd software version.","4"
"What does the metric 'etcdSlowApply' measure?","Rate of slow apply operations in etcd over the last 2 minutes.","Total number of slow apply operations in etcd over the last 2 minutes.","Rate of slow apply operations in etcd since the server started.","Total number of slow apply operations in etcd since the server started.","1"
"What does the metric 'etcdSlowRead' indicate?","Rate of slow read operations in etcd over the last 2 minutes.","Total number of slow read operations in etcd over the last 2 minutes.","Rate of slow read operations in etcd since the server started.","Total number of slow read operations in etcd since the server started.","2"
"What does the metric ""workQueueDepth"" indicate?","Depth of scheduler job queue","Depth of volume scheduling queue","Depth of workqueue","Depth of workqueue retries queue","3"
"What does the metric ""workQueue99thQueueDuration"" signify?","99th percentile of scheduler job queue duration","99th percentile of volume scheduling queue duration","99th percentile of workqueue queue duration","99th percentile of workqueue work duration","3"
"What does the metric ""workQueue99thWorkDuration"" represent?","99th percentile of scheduler job duration","99th percentile of volume scheduling duration","99th percentile of workqueue queue duration","99th percentile of workqueue work duration","4"
"What does the metric ""workQueueUnfinishedWork"" measure?","Amount of unfinished scheduler work","Amount of unfinished volume scheduling work","Amount of unfinished workqueue work","Amount of unfinished workqueue retries","3"
"What does the metric ""workQueueLongestRunningProcessor"" indicate?","Duration of longest running scheduler processor","Duration of longest running volume scheduling processor","Duration of longest running workqueue processor","Duration of longest running workqueue retries processor","3"
"What does the metric ""workQueueRetryRate"" measure?","Rate of scheduler retries","Rate of volume scheduling retries","Rate of workqueue retries","Rate of workqueue additions","3"
"What does the metric ""workQueueAddRate"" measure?","Rate of scheduler job additions","Rate of volume scheduling","Rate of workqueue additions","Rate of workqueue retries","3"
"What does the metric ""99thSchedulingVolumeDuration"" represent?","99th percentile of scheduler_e2e_scheduling_duration_seconds","99th percentile of scheduler_volume_scheduling_duration_seconds","99th percentile of workqueue_queue_duration_seconds","99th percentile of workqueue_work_duration_seconds","2"
"What does the metric ""99thSchedulingDuration"" represent?","99th percentile of scheduler_e2e_scheduling_duration_seconds","99th percentile of scheduler_volume_scheduling_duration_seconds","99th percentile of workqueue_queue_duration_seconds","99th percentile of workqueue_work_duration_seconds","2"
"What does the following query measure: sum(process_resident_memory_bytes{service=""kubelet"",job=""kubelet""}) by (node) and on (node) kube_node_role{role=""worker""} > 0","Total memory usage of kubelet pods","Total memory usage of kubelet processes","Total memory usage of kubelet nodes","Total memory usage of worker nodes","3"
"What does the following query measure: histogram_quantile(0.99, sum(rate(kubelet_pod_start_duration_seconds_bucket{}[5m])) by (instance, le)) > 0","99th percentile of pod start duration","Mean pod start duration","Median pod start duration","Max pod start duration","1"
"What does the following query measure: sum(rate(kubelet_pod_start_duration_seconds_count{}[5m])) by (node) > 0","Pod start rate","Pod start count","Pod start duration","Pod restart rate","1"
"What does the following query measure: histogram_quantile(0.99, sum(rate(kubelet_pod_worker_duration_seconds_bucket{}[5m])) by (node, le, operation_type)) > 0","99th percentile of pod worker duration","Mean pod worker duration","Median pod worker duration","Max pod worker duration","1"
"What does the following query measure: histogram_quantile(0.99, sum(rate(storage_operation_duration_seconds_bucket{metrics_path=""/metrics""}[5m])) by (le, node, operation_name, volume_plugin)) > 0.01","99th percentile of storage operation duration","Mean storage operation duration","Median storage operation duration","Max storage operation duration","1"
"Which of the following metrics indicates the storage blocks bytes by pod in Prometheus TSDB that are greater than zero?","sum(prometheus_tsdb_storage_blocks_bytes{pod=""A""}) by (pod) > 0","sum(prometheus_tsdb_storage_blocks_bytes{pod=""B""}) by (pod) > 0","sum(prometheus_tsdb_storage_blocks_bytes{pod=""C""}) by (pod) > 0","sum(prometheus_tsdb_storage_blocks_bytes{pod=""D""}) by (pod) > 0","3"
"What does the following query measure: sum(irate(process_cpu_seconds_total{service=""kubelet"",job=""kubelet""}[2m]) * 100) by (node) and on (node) kube_node_role{role=""worker""} > 0","Total CPU usage of kubelet pods","Total CPU usage of kubelet processes","Total CPU usage of kubelet nodes","Total CPU usage of worker nodes","3"
"What does the query `(sum(irate(container_cpu_usage_seconds_total{name!=',namespace='openshift-monitoring'}[2m]) * 100) by (pod, namespace, node) and on (node) kube_node_role{role='infra'})` measure?","CPU usage of containers in milliseconds","CPU usage of containers in seconds","Memory usage of containers in bytes","Network usage of containers in bytes","2"
"What does the query `(sum(container_memory_rss{name!=',namespace='openshift-monitoring'}) by (pod, namespace, node) and on (node) kube_node_role{role='infra'})` measure?","RSS memory usage of containers in bytes","Virtual memory usage of containers in bytes","Active memory usage of containers in bytes","Available memory usage of containers in bytes","1"
"What does the query `(sum(irate(node_cpu_seconds_total[2m])) by (mode,instance) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Total CPU usage of the node in milliseconds","Total CPU usage of the node in seconds","Total CPU usage of the node in percentage","Total CPU usage of the node in cores","3"
"What does the query `(avg(node_memory_MemAvailable_bytes) by (instance) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Available memory of the node in bytes","Active memory of the node in bytes","Total memory of the node in bytes","Free memory of the node in bytes","1"
"What does the query `(avg(node_memory_Active_bytes) by (instance) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Active memory of the node in bytes","Available memory of the node in bytes","Total memory of the node in bytes","Free memory of the node in bytes","1"
"What does the query `avg(node_memory_Cached_bytes) by (instance) + avg(node_memory_Buffers_bytes) by (instance) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')` measure?","Cached and buffered memory of the node in bytes","Total memory of the node in bytes","Free memory of the node in bytes","Active memory of the node in bytes","1"
"What does the query `(irate(node_network_receive_bytes_total{device=~'^(ens|eth|bond|team).*'}[2m]) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Received network bytes of the node in bytes","Transmitted network bytes of the node in bytes","Total network bytes of the node in bytes","Free network bytes of the node in bytes","1"
"What does the query `(irate(node_network_transmit_bytes_total{device=~'^(ens|eth|bond|team).*'}[2m]) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Transmitted network bytes of the node in bytes","Received network bytes of the node in bytes","Total network bytes of the node in bytes","Free network bytes of the node in bytes","1"
"What does the query `(rate(node_disk_written_bytes_total{device!~'^(dm|rb).*'}[2m]) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Written disk bytes of the node in bytes","Read disk bytes of the node in bytes","Total disk bytes of the node in bytes","Free disk bytes of the node in bytes","1"
"What does the query `(rate(node_disk_read_bytes_total{device!~'^(dm|rb).*'}[2m]) and on (instance) label_replace(kube_node_role{role='infra'}, 'instance', '$1', 'node', '(.+)')) > 0` measure?","Read disk bytes of the node in bytes","Written disk bytes of the node in bytes","Total disk bytes of the node in bytes","Free disk bytes of the node in bytes","1"
"The increase() function is most suitable for which type of metric?","Gauge","Counter","Histogram","Summary","2"
"What does the min() function do in PromQL?","Calculates the minimum value of the time series","Calculates the minimum value within a specified time range","Calculates the minimum rate of change","Counts the minimum number of elements","1"
"What does the function count() return when applied to a time series?","Total sum of values","Maximum value","Number of elements","Average value","3"
